sRNA_ID	HCd120_1	HCd120_2	HCd120_3	HCd60_1	HCd60_2	HCd60_3	HCd90_1	HCd90_2	HCd90_3	PDd120_1	PDd120_2	PDd120_3	PDd60_1	PDd60_2	PDd60_3	PDd90_1	PDd90_2	PDd90_3	PSPd120_1	PSPd120_2	PSPd120_3	PSPd60_1	PSPd60_2	PSPd60_3	PSPd90_1	PSPd90_2	PSPd90_3
hsa-let-7a-2-3p	34	31	30	16	2	6	20	16	9	14	5	6	10	4	12	11	12	4	9	6	4	6	10	13	7	4	3
hsa-let-7a-3p	1082	1020	1235	31	14	33	148	159	119	155	87	134	96	53	103	197	129	117	79	88	101	34	54	42	32	38	79
hsa-let-7a-5p	48528	43154	59619	18638	10873	18527	28711	35243	24900	89439	76711	97254	53959	36894	63717	125352	89405	75733	39403	45664	50478	19048	22642	26577	39411	43455	32935
hsa-let-7b-3p	160	160	214	0	0	0	10	4	3	26	25	33	2	0	4	13	14	14	9	6	3	0	0	0	1	1	3
hsa-let-7b-5p	11502	10726	14820	258	151	276	1364	1713	1243	16975	14057	16185	2353	1639	2616	12109	8936	7138	2657	2993	3479	329	420	447	1930	1965	1857
hsa-let-7c-3p	1973	1765	2433	176	120	196	679	767	573	180	112	120	222	109	291	316	221	198	114	116	160	72	120	137	53	106	143
hsa-let-7c-5p	59924	55038	75034	39035	22477	37818	56148	69403	50445	63981	59552	63719	69492	49985	79128	146350	107542	89287	49672	57817	64466	42680	41218	48667	87047	61020	42860
hsa-let-7d-3p	382	396	536	112	48	127	298	345	236	837	485	652	228	116	280	843	686	467	221	284	322	54	89	119	73	165	286
hsa-let-7d-5p	1029	913	1252	254	176	225	813	936	683	2642	2061	2840	859	553	987	2250	1768	1252	926	1047	1208	326	488	554	821	530	790
hsa-let-7e-3p	189	177	204	143	88	151	225	300	215	157	105	157	241	101	246	410	319	245	160	188	205	104	163	176	139	128	254
hsa-let-7e-5p	6223	5903	7789	9180	5239	9165	10575	12995	9055	14683	12575	13039	17178	10542	21126	26745	22912	16020	14759	16704	19059	7363	9070	10264	14681	13947	16278
hsa-let-7f-1-3p	16	16	27	4	0	2	5	0	8	19	4	5	1	1	9	2	5	4	2	1	2	0	1	0	3	0	0
hsa-let-7f-2-3p	25	22	26	8	1	9	14	22	33	17	5	8	2	1	3	5	11	11	9	8	21	5	1	19	12	2	15
hsa-let-7f-5p	123251	112067	153286	64614	39405	63985	139783	171799	126174	366202	374445	414966	156927	117509	188103	437643	324224	265693	209874	248824	274794	92797	93634	108350	228947	225091	132579
hsa-let-7g-3p	17	12	19	8	5	11	16	13	14	10	15	8	8	4	16	5	16	6	9	21	21	7	10	15	25	9	10
hsa-let-7g-5p	86792	77133	107979	53361	33575	53207	103445	124952	89543	201976	169013	210841	120242	80016	147123	290513	193333	174272	139612	158072	182623	80264	100381	112345	183853	114661	92184
hsa-let-7i-3p	18	15	27	8	1	7	11	23	8	25	18	32	0	0	6	37	21	28	9	19	11	0	7	4	7	2	17
hsa-let-7i-5p	182624	168431	228984	75216	46734	74455	159847	188302	136364	660019	617951	639668	201920	154780	239015	467189	344529	295912	219201	222333	292150	150272	149687	163243	369712	193991	130569
hsa-miR-1-3p	4042	3592	4591	2751	1811	2740	3001	3620	2689	1108778	1176172	1098896	80997	65182	93615	180000	140479	112199	5338	6035	6479	3734	3313	3451	8540	11089	5673
hsa-miR-1-5p	3	4	0	0	0	0	0	2	0	12	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-3p	16	18	24	10	6	3	5	7	4	1	2	0	5	1	5	3	2	0	1	1	2	6	6	4	2	3	5
hsa-miR-100-5p	294017	279291	376661	572490	294627	575412	337219	415446	274834	399009	341077	328783	698290	446480	891436	851292	588150	520636	244566	282209	303626	404262	571428	605774	294528	344929	368394
hsa-miR-101-2-5p	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0
hsa-miR-101-3p	149859	141727	185123	168903	95010	164109	203263	235282	163329	176823	108262	99017	142854	83858	176766	385278	306659	239224	285862	297737	348728	199597	235870	229413	409901	308547	399537
hsa-miR-101-5p	13	10	4	8	2	5	10	10	9	5	5	7	5	1	1	7	6	10	14	15	21	2	15	9	12	7	18
hsa-miR-10392-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-5p	0	1	0	3	0	0	0	0	0	1	0	1	0	1	4	1	0	2	0	2	0	0	0	3	0	0	0
hsa-miR-10393-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-3p	1	6	4	6	1	0	0	2	1	1	0	2	1	0	2	4	2	2	1	1	2	0	3	2	1	2	2
hsa-miR-10394-5p	3	4	9	3	0	3	4	5	2	0	0	0	2	0	2	2	1	0	2	0	0	0	1	0	0	0	0
hsa-miR-10395-3p	268	327	425	70	26	76	74	118	64	123	114	111	47	39	61	124	88	69	161	208	191	95	70	97	239	160	134
hsa-miR-10395-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-3p	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-10396a-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
hsa-miR-10396b-3p	3	18	16	4	1	3	0	4	3	7	8	1	0	2	1	6	10	2	2	11	8	2	6	1	0	2	5
hsa-miR-10397-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-10397-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-10399-3p	0	0	2	5	0	0	2	0	0	0	0	0	0	7	1	2	0	0	0	0	0	0	0	0	0	0	4
hsa-miR-10399-5p	0	1	1	2	3	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-103a-1-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	1	0	0	0	0
hsa-miR-103a-2-5p	33	17	34	29	18	23	30	36	30	8	3	0	16	6	24	12	10	14	18	17	30	13	29	13	7	5	15
hsa-miR-103a-3p	182586	161203	222905	402636	279801	389558	263340	318186	236489	269002	213507	224927	312580	207955	385498	675794	507488	441745	293726	337811	377646	249854	411411	425636	368641	506680	508759
hsa-miR-103b	178159	157140	217390	391273	270273	378637	256784	310453	230064	258446	203822	216403	302940	199673	373636	652400	489957	425798	282575	325595	363134	239043	398951	413430	351474	481443	489663
hsa-miR-10401-3p	5	0	16	2	1	6	1	2	0	2	0	0	1	0	5	14	2	4	0	1	0	0	1	1	1	2	1
hsa-miR-10401-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
hsa-miR-105-3p	49	46	44	60	25	56	75	117	74	100	41	59	61	27	94	187	126	114	138	140	166	50	95	110	93	104	181
hsa-miR-105-5p	178	183	248	430	197	365	378	442	314	484	387	411	503	431	668	1263	910	701	769	876	1021	382	536	622	910	1000	1051
hsa-miR-10522-5p	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	3	0	1	0	0	0	2	0
hsa-miR-10527-5p	10	7	16	7	2	7	14	9	9	3	5	4	11	3	5	13	6	9	5	8	2	3	9	3	5	7	6
hsa-miR-106a-3p	79	83	109	172	128	153	79	79	39	5	0	3	66	28	85	24	17	12	12	14	22	55	111	119	12	5	41
hsa-miR-106a-5p	1770	1543	2038	4364	3557	4415	920	1129	808	99	64	65	1280	807	1798	526	364	347	245	295	296	766	1586	1624	162	275	434
hsa-miR-106b-3p	16056	15496	20245	35674	17882	36277	20347	24525	17149	8998	7256	7212	31205	19273	36621	20913	15570	13095	7798	9387	10464	24353	30257	33199	13764	13264	12052
hsa-miR-106b-5p	5310	4911	6376	7365	3943	7411	5466	6237	4313	1651	936	896	4103	1800	5338	4066	3443	2351	2061	2367	2736	3297	8094	7736	2408	2210	5041
hsa-miR-107	4437	4749	6445	7432	3881	7218	5507	7319	4424	3856	2082	2769	5532	2237	7264	9180	7673	5208	5291	6882	6612	3537	8925	9265	4375	3737	8693
hsa-miR-10a-3p	0	0	3	0	0	0	0	1	0	4	12	1	2	3	0	1	0	0	0	0	0	0	0	0	0	3	1
hsa-miR-10a-5p	11	7	617	150	102	131	107	126	135	601	520	532	586	808	313	915	470	463	6	2	4	3	8	3	5	722	204
hsa-miR-10b-3p	1	0	1	6	1	5	0	0	3	176	91	140	27	12	28	111	81	54	2	6	5	0	0	1	0	7	6
hsa-miR-10b-5p	394	370	602	4621	3758	4568	574	756	587	158207	134558	125534	39487	31851	48761	141491	108862	97440	2536	2738	3148	876	1137	1181	2085	3777	3668
