"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,-0.966759076307056,0.52916969596787,-1.8269358273414,0.0677094186431225,0.177439763652826
"hsa-let-7a-3p",205.804921921266,-2.47768403194277,0.220879359745151,-11.2173633371697,3.3511316899298e-29,2.73269556897003e-27
"hsa-let-7a-5p",48364.5572237225,-0.889832279318553,0.140452874825083,-6.33545080815704,2.36648311024582e-10,5.58614565760659e-09
"hsa-let-7b-3p",27.5153751573466,-4.90869576336736,1.26351659550633,-3.88494759849221,0.000102351962117811,0.000842290917611713
"hsa-let-7b-5p",5405.38773726333,-2.67224620528624,0.119466167547264,-22.3682257508513,8.02660885421753e-111,7.19986814223313e-108
"hsa-let-7c-3p",417.391203734543,-2.03842387509532,0.157256499998428,-12.9624141139838,1.99857201772935e-38,2.56102728557604e-36
"hsa-let-7c-5p",61154.3576861881,-0.830204418985632,0.217440752746142,-3.81807185865881,0.000134498753516427,0.00106168052064
"hsa-let-7d-3p",313.436938589471,-1.66435873848751,0.235394113908957,-7.0705197799943,1.54354430377207e-12,4.94485443029838e-11
"hsa-let-7d-5p",1063.99413609424,-1.87216906014507,0.148765132194374,-12.5847302558702,2.56216494174898e-36,2.55362439194315e-34
"hsa-let-7e-3p",182.548223750926,-0.961852003630391,0.16333445230242,-5.88884947463187,3.88893449686043e-09,7.11913110955878e-08
"hsa-let-7e-5p",12777.0006642661,-0.474293312624769,0.0816694821296474,-5.80747300285124,6.34227742072492e-09,1.07340053705476e-07
"hsa-let-7f-1-3p",5.05430639710091,-1.36237649032004,1.12154064919857,-1.21473661368722,0.224466563270331,0.416866474644901
"hsa-let-7f-2-3p",11.6458946593747,-2.11478998916383,0.731660558119709,-2.89039769288454,0.00384754743575623,0.0196093752833712
"hsa-let-7f-5p",199095.660087063,-1.37891758858031,0.209285783142398,-6.58868255586237,4.43746401080343e-11,1.10566811602519e-09
"hsa-let-7g-3p",12.4629089238506,-0.884659422696674,0.556750082821978,-1.58897043753031,0.112067067095584,0.256439181593722
"hsa-let-7g-5p",129545.115953007,-1.17176759948231,0.201916493608544,-5.80322874343301,6.50499515271166e-09,1.08055197258933e-07
"hsa-let-7i-3p",12.9344122198393,-1.42585597005983,0.626945301268107,-2.27429086265705,0.0229485041855429,0.0811121484502116
