"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,0.246576972770572,0.510971870083891,0.482564671769679,0.629404868585536,0.791765070690476
"hsa-let-7a-3p",205.804921921266,1.31725197778797,0.194120452463217,6.78574545377987,1.15488618123077e-11,1.57559471867912e-10
"hsa-let-7a-5p",48364.5572237225,-0.0321876554364861,0.140398030573375,-0.229260020991991,0.818666824592194,0.9155585618412
"hsa-let-7b-3p",27.5153751573466,4.52747610051351,1.26351659550633,3.58323437667174,0.00033936584641024,0.0018173516821782
"hsa-let-7b-5p",5405.38773726333,1.44845242158932,0.113422764251167,12.7703854790722,2.39963107652935e-37,1.52776511872369e-35
"hsa-let-7c-3p",417.391203734543,2.24024713076584,0.163844140769729,13.6730378043506,1.471225968869e-42,1.12401664021592e-40
"hsa-let-7c-5p",61154.3576861881,-0.0290825432548145,0.217425154477911,-0.133758871298257,0.893593250809551,0.945022896178821
"hsa-let-7d-3p",313.436938589471,1.37322770470103,0.236265581383294,5.81222070798898,6.16494848931464e-09,6.25223979535803e-08
"hsa-let-7d-5p",1063.99413609424,0.44551367184195,0.142940907981968,3.11676816757139,0.00182845298410249,0.00805925815300557
"hsa-let-7e-3p",182.548223750926,0.352765390333798,0.160728723680267,2.19478747952696,0.0281788460368419,0.0836605118088621
"hsa-let-7e-5p",12777.0006642661,-0.122366193201381,0.0815767066339367,-1.50001389183902,0.13361080410003,0.286737793068604
"hsa-let-7f-1-3p",5.05430639710091,3.30749874762423,1.50346722051785,2.1999141068636,0.027812989650891,0.0829500931333894
"hsa-let-7f-2-3p",11.6458946593747,1.18053930359219,0.703004544505761,1.67927691622841,0.0930980876618165,0.220621222226079
"hsa-let-7f-5p",199095.660087063,0.137817886623954,0.209271097026299,0.658561495506635,0.510177395424625,0.710757682547025
"hsa-let-7g-3p",12.4629089238506,0.0692841739106448,0.535583309411225,0.129362085586293,0.897071146867905,0.945762221076927
"hsa-let-7g-5p",129545.115953007,-0.290702082287919,0.201895311736596,-1.43986544208211,0.14990547187375,0.312713012444828
"hsa-let-7i-3p",12.9344122198393,1.54216175151242,0.671534306808608,2.29647500637961,0.0216487366278688,0.0669983327930544
"hsa-let-7i-5p",262889.551131216,-0.376025063927958,0.271962394282281,-1.38263624616302,0.16677642929245,0.337678070616869
"hsa-miR-1-3p",181439.299068119,-0.632078001308226,0.239626284075106,-2.63776573487286,0.00834542113525865,0.0292472557217322
"hsa-miR-1-5p",0.956059846732034,1.23895120772075,4.66146719251248,0.265785675744072,0.790404275655477,NA
"hsa-miR-100-3p",5.21638558650448,-0.436213044956248,0.66493794771441,-0.656020680509576,0.511810818080034,0.710951754569357
"hsa-miR-100-5p",418957.111914999,-1.02644191849982,0.0729896393495935,-14.0628440919339,6.42512153216074e-45,5.25942091132586e-43
"hsa-miR-101-2-5p",0.382580631083131,-1.19442821319041,4.51738595649342,-0.264406943461075,0.791466361750709,NA
"hsa-miR-101-3p",219759.525440671,-0.574159640267637,0.130857119177844,-4.38768363444798,1.14564254877293e-05,8.3624608974126e-05
"hsa-miR-101-5p",8.79764130889293,-0.173273833844645,0.593705601803845,-0.291851438352932,0.770400214295569,0.888207892940365
