"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,0.730767595595515,0.552696102640333,1.32218698866249,0.186105892668285,0.356451466497995
"hsa-let-7a-3p",205.804921921266,0.616124152150273,0.164521792724728,3.7449394511592,0.000180437286800814,0.000954252914772462
"hsa-let-7a-5p",48364.5572237225,0.736689943212588,0.140256309338552,5.25245492831527,1.5008519883872e-07,1.16452968150044e-06
"hsa-let-7b-3p",27.5153751573466,1.87929222330095,0.4018903962282,4.67613120626516,2.92337605041696e-06,1.90647162060934e-05
"hsa-let-7b-5p",5405.38773726333,1.62025424354216,0.103543833111148,15.6480033127895,3.42807374412667e-55,2.80310953077434e-53
"hsa-let-7c-3p",417.391203734543,0.0119860255083724,0.165383729948986,0.0724740306199985,0.942224671672673,0.979849990141821
"hsa-let-7c-5p",61154.3576861881,0.00758123911706495,0.217401280797824,0.034872099599612,0.972181728370933,0.985735330859668
"hsa-let-7d-3p",313.436938589471,0.835087063120601,0.217449789922037,3.84036730235522,0.000122850364017932,0.000669691984364417
"hsa-let-7d-5p",1063.99413609424,1.39499889215066,0.136656395220166,10.2080761745778,1.82446288151216e-24,4.30978676232761e-23
"hsa-let-7e-3p",182.548223750926,-0.357965050708131,0.15933759337504,-2.24658251154561,0.0246667208775425,0.0722334002557237
"hsa-let-7e-5p",12777.0006642661,0.168361750743351,0.0812075466599914,2.07322789159321,0.0381510758170556,0.104777144227579
"hsa-let-7f-1-3p",5.05430639710091,2.02576859379189,0.994378569171023,2.03722068897834,0.0416279314807921,0.111743664555763
"hsa-let-7f-2-3p",11.6458946593747,0.853924920215889,0.723935712156916,1.17955904906484,0.238175638296018,0.421967839181112
"hsa-let-7f-5p",199095.660087063,1.05971951706726,0.209251829769375,5.06432616735167,4.09847419703566e-07,3.06808314890768e-06
"hsa-let-7g-3p",12.4629089238506,1.14114382800114,0.557011682536992,2.04868921743909,0.0404925142385773,0.110085786791835
"hsa-let-7g-5p",129545.115953007,0.699786067470887,0.201877804327206,3.4663843794173,0.00052750855727958,0.00258406265616679
"hsa-let-7i-3p",12.9344122198393,0.650051705544744,0.50430884393246,1.28899525234541,0.197399737117881,0.37271033846591
"hsa-let-7i-5p",262889.551131216,1.66925001029673,0.271951633183173,6.13804002850905,8.35458140062109e-10,7.92939288291091e-09
"hsa-miR-1-3p",181439.299068119,3.85585440061971,0.238751617863306,16.1500660608186,1.13440138183423e-58,1.00489055740816e-56
"hsa-miR-1-5p",0.956059846732034,5.3229094921236,4.55019711173056,1.16981953999332,0.242073598503351,NA
"hsa-miR-100-3p",5.21638558650448,0.158852858325978,1.13975055655833,0.139375109239394,0.889153740319141,0.953881527079463
"hsa-miR-100-5p",418957.111914999,-0.0013044501317926,0.0729871284766715,-0.0178723311769901,0.985740702010386,0.9922749680275
"hsa-miR-101-2-5p",0.382580631083131,2.47319814075762,4.52882849058286,0.546101082410237,0.58499645580291,NA
"hsa-miR-101-3p",219759.525440671,-0.441192224819607,0.13086175990834,-3.37143734830276,0.000747770447667608,0.00354857136549405
"hsa-miR-101-5p",8.79764130889293,0.381404881406505,0.638089611871165,0.597729338185047,0.550020546274562,0.728109390647396
"hsa-miR-10392-3p",0.0296604175699795,0,6.34335724256334,0,1,NA
"hsa-miR-10392-5p",0.631287164161912,0.0555168449820886,2.87949665629349,0.019280051900998,0.984617697248578,NA
"hsa-miR-10393-3p",0.0420080510756771,0,6.34335724256334,0,1,NA
"hsa-miR-10394-3p",1.70823929214682,-0.550023606943898,1.27942760038779,-0.429898187890577,0.667269703709735,0.808788705864821
"hsa-miR-10394-5p",1.39360486844667,-1.49529813624545,1.75886228834517,-0.850150774255501,0.395241265688466,0.602785459722868
"hsa-miR-10395-3p",139.264558394262,1.19393949140758,0.267708085630015,4.45985592328228,8.20147676203569e-06,5.12833517531997e-05
"hsa-miR-10395-5p",0.031571216601174,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-3p",0.198782573188647,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-5p",0.180245009837891,0,6.34335724256334,0,1,NA
"hsa-miR-10396b-3p",4.74821267063628,0.726410446994071,0.961031014680978,0.755865769051386,0.449729679285661,0.645158770689146
"hsa-miR-10397-3p",0.0970307403942435,0,6.34335724256334,0,1,NA
"hsa-miR-10397-5p",0.0331517171878959,-0.119505971516914,6.34335724256334,-0.0188395461499536,0.984969106148444,NA
"hsa-miR-10399-3p",0.79117463346594,-0.746731131153018,4.41976130769172,-0.168952818753692,0.865833752963275,NA
"hsa-miR-10399-5p",0.526464276660508,0,3.28686134954212,0,1,NA
"hsa-miR-103a-1-5p",0.317173727374726,-2.0350386061343,6.27489924488257,-0.324314148596721,0.745700209054408,NA
"hsa-miR-103a-2-5p",17.4194676524108,-0.913761736805228,0.595571709338116,-1.53425980864795,0.124965749113996,0.270547029140891
"hsa-miR-103a-3p",330213.183314109,-0.341039931709143,0.108281536707867,-3.14956678744998,0.00163512729384225,0.00694232797623695
"hsa-miR-103b",318474.172958136,-0.349839099165454,0.106476490910431,-3.28559944241347,0.00101765613603439,0.00466279514053687
"hsa-miR-10401-3p",2.03185077542761,-2.44186973214264,1.52827828777676,-1.5977912868833,0.110089434413733,0.246368565856417
