"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,-0.79138955637971,0.54168928434515,-1.46096586964319,0.144024808124374,0.25016073698727
"hsa-let-7a-3p",205.804921921266,1.07238060763895,0.19385966703424,5.53173655998048,3.17075870772753e-08,2.06780153761617e-07
"hsa-let-7a-5p",48364.5572237225,1.38073301957932,0.140339447773385,9.83852396090999,7.68297176397246e-23,1.21895507240339e-21
"hsa-let-7b-3p",27.5153751573466,5.53240173408211,1.23463000182957,4.48102000265973,7.42871478829104e-06,3.81484242509825e-05
"hsa-let-7b-5p",5405.38773726333,3.85397244040586,0.111585572436078,34.5382683107496,2.13832856871817e-261,5.68260817136854e-259
"hsa-let-7c-3p",417.391203734543,0.484887363204043,0.169468242883228,2.86122848124503,0.00422002803270491,0.013002579126856
"hsa-let-7c-5p",61154.3576861881,0.637381942039572,0.217411967032803,2.93167828219597,0.00337135796274356,0.0106659330785607
"hsa-let-7d-3p",313.436938589471,2.25609826071728,0.23344255723362,9.66446858470399,4.26829362551638e-22,6.39041707594918e-21
"hsa-let-7d-5p",1063.99413609424,1.2555576759952,0.141332039140612,8.88374415051097,6.46468740598211e-19,9.04205620073551e-18
"hsa-let-7e-3p",182.548223750926,0.453274215467124,0.158709756851007,2.85599464368563,0.00429022371808543,0.0131806584171237
"hsa-let-7e-5p",12777.0006642661,0.594322349559157,0.0813792924174383,7.30311522629807,2.81180181447216e-13,2.79340684933076e-12
"hsa-let-7f-1-3p",5.05430639710091,2.72498432688256,1.51512270465895,1.79852385453886,0.0720940319102234,0.14191843688994
"hsa-let-7f-2-3p",11.6458946593747,-0.432579083694661,0.734140143663733,-0.589232297713446,0.555705453915898,0.671746943856645
"hsa-let-7f-5p",199095.660087063,1.07052310131158,0.209264568934176,5.11564430980343,3.12671785046847e-07,1.88846651991363e-06
"hsa-let-7g-3p",12.4629089238506,-0.876361783907053,0.561320618883062,-1.56124994241415,0.1184647894319,0.214528230265944
"hsa-let-7g-5p",129545.115953007,0.459616693546276,0.201886953667093,2.27660423419025,0.0228098698089022,0.0558684138406984
"hsa-let-7i-3p",12.9344122198393,2.34269472617527,0.651094325293302,3.59808807290702,0.000320565073576034,0.00123477741827957
