"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,-0.460538489582437,0.567522906859542,-0.811488812197703,0.417085015159956,0.587233604125871
"hsa-let-7a-3p",205.804921921266,1.14926936503088,0.201372564004397,5.70717947955305,1.14863644409659e-08,9.04444844499761e-08
"hsa-let-7a-5p",48364.5572237225,1.08066683980722,0.140368099500894,7.69880652120916,1.37342939500585e-14,1.64039937852946e-13
"hsa-let-7b-3p",27.5153751573466,5.1311440922855,1.26015739271129,4.07182794940052,4.66456294490813e-05,0.0002306246702529
"hsa-let-7b-5p",5405.38773726333,3.0286460010997,0.112270561006739,26.9763148410554,2.80306541308523e-160,5.95931706821921e-158
"hsa-let-7c-3p",417.391203734543,0.364458742719761,0.176580879020421,2.06397626255792,0.0390199670831009,0.095133543599395
"hsa-let-7c-5p",61154.3576861881,0.437733015445899,0.217425576507402,2.01325447758901,0.0440878647362699,0.104610268336283
"hsa-let-7d-3p",313.436938589471,1.78394088485018,0.236554454397065,7.54135401676169,4.65116551193019e-14,5.43317465844153e-13
"hsa-let-7d-5p",1063.99413609424,1.33317521297084,0.142205518879084,9.37498926539145,6.91828092380122e-21,1.38757219283032e-19
"hsa-let-7e-3p",182.548223750926,0.435515901690798,0.163612960393685,2.66186676558422,0.00777086305966602,0.0240828788117346
"hsa-let-7e-5p",12777.0006642661,1.0132104343361,0.0814322474038833,12.4423734655244,1.53862940498559e-35,5.45187685833228e-34
"hsa-let-7f-1-3p",5.05430639710091,2.31181339410353,1.58971912998601,1.45422757422808,0.14588322254135,0.280422903366104
"hsa-let-7f-2-3p",11.6458946593747,0.730539755825298,0.721901051505863,1.01196660442787,0.311554021267206,0.483477262200058
"hsa-let-7f-5p",199095.660087063,1.38116816258237,0.209266381256711,6.60004800717638,4.11024661788332e-11,4.00843316955043e-10
"hsa-let-7g-3p",12.4629089238506,0.773275676120698,0.529461572254125,1.46049442800648,0.14415423779974,0.278633270023108
"hsa-let-7g-5p",129545.115953007,0.805927948515417,0.201889621353093,3.99192362199687,6.55394834899294e-05,0.000316674867953613
"hsa-let-7i-3p",12.9344122198393,1.97851710420478,0.673095190124048,2.93943135121816,0.00328815102491258,0.0115356585461454
"hsa-let-7i-5p",262889.551131216,0.72320631577466,0.27195961455657,2.65924158244541,0.00783167840066014,0.024200796918319
"hsa-miR-1-3p",181439.299068119,0.809612504256993,0.239396567336633,3.38188852607288,0.00071989351258302,0.00285539852192444
"hsa-miR-1-5p",0.956059846732034,0,4.6820071377074,0,1,NA
"hsa-miR-100-3p",5.21638558650448,-1.92841263931992,0.912555938196859,-2.11319937617228,0.0345837066814034,0.0860948014106131
"hsa-miR-100-5p",418957.111914999,-0.822625136205404,0.0729927448547086,-11.2699575532175,1.84658899316476e-29,5.9482548476792e-28
"hsa-miR-101-2-5p",0.382580631083131,-0.69800830524095,4.51738595649342,-0.154515977152143,0.877202914555194,NA
"hsa-miR-101-3p",219759.525440671,0.566248562253846,0.130852207878636,4.32739020176896,1.50886519141436e-05,7.82401804133396e-05
"hsa-miR-101-5p",8.79764130889293,1.09850334744318,0.567943538399642,1.93417703199609,0.0530913653128169,0.120590002836591
"hsa-miR-10392-3p",0.0296604175699795,0,6.34335724256334,0,1,NA
"hsa-miR-10392-5p",0.631287164161912,-0.325390877225016,2.89971236604764,-0.112214880701609,0.910653030597903,NA
"hsa-miR-10393-3p",0.0420080510756771,0,6.34335724256334,0,1,NA
"hsa-miR-10394-3p",1.70823929214682,-0.161150392164096,1.27692697050732,-0.126201729532012,0.899572242344906,0.950542041364449
"hsa-miR-10394-5p",1.39360486844667,1.0488106242898,1.82905164543318,0.573417720001783,0.56636189514731,0.711340946808601
"hsa-miR-10395-3p",139.264558394262,1.15434793190899,0.263796384027104,4.37590506089114,1.20929644556349e-05,6.59221600837941e-05
"hsa-miR-10395-5p",0.031571216601174,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-3p",0.198782573188647,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-5p",0.180245009837891,1.05237154351672,6.34335724256334,0.165901352119254,0.86823458340425,NA
