"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",205.804921921266,-2.47768403194277,0.220879359745151,-11.2173633371697,3.3511316899298e-29,2.73269556897003e-27
"hsa-let-7a-5p",48364.5572237225,-0.889832279318553,0.140452874825083,-6.33545080815704,2.36648311024582e-10,5.58614565760659e-09
"hsa-let-7b-3p",27.5153751573466,-4.90869576336736,1.26351659550633,-3.88494759849221,0.000102351962117811,0.000842290917611713
"hsa-let-7b-5p",5405.38773726333,-2.67224620528624,0.119466167547264,-22.3682257508513,8.02660885421753e-111,7.19986814223313e-108
"hsa-let-7c-3p",417.391203734543,-2.03842387509532,0.157256499998428,-12.9624141139838,1.99857201772935e-38,2.56102728557604e-36
"hsa-let-7c-5p",61154.3576861881,-0.830204418985632,0.217440752746142,-3.81807185865881,0.000134498753516427,0.00106168052064
"hsa-let-7d-3p",313.436938589471,-1.66435873848751,0.235394113908957,-7.0705197799943,1.54354430377207e-12,4.94485443029838e-11
"hsa-let-7d-5p",1063.99413609424,-1.87216906014507,0.148765132194374,-12.5847302558702,2.56216494174898e-36,2.55362439194315e-34
"hsa-let-7e-3p",182.548223750926,-0.961852003630391,0.16333445230242,-5.88884947463187,3.88893449686043e-09,7.11913110955878e-08
"hsa-let-7e-5p",12777.0006642661,-0.474293312624769,0.0816694821296474,-5.80747300285124,6.34227742072492e-09,1.07340053705476e-07
"hsa-let-7f-2-3p",11.6458946593747,-2.11478998916383,0.731660558119709,-2.89039769288454,0.00384754743575623,0.0196093752833712
"hsa-let-7f-5p",199095.660087063,-1.37891758858031,0.209285783142398,-6.58868255586237,4.43746401080343e-11,1.10566811602519e-09
"hsa-let-7g-5p",129545.115953007,-1.17176759948231,0.201916493608544,-5.80322874343301,6.50499515271166e-09,1.08055197258933e-07
"hsa-let-7i-5p",262889.551131216,-1.29523105057371,0.271974921171906,-4.76231795561416,1.91381821563403e-06,2.2889265858983e-05
"hsa-miR-100-5p",418957.111914999,0.469185923584359,0.0729911270852814,6.42798573361077,1.29305873313883e-10,3.13479373952847e-09
"hsa-miR-101-3p",219759.525440671,-0.497404587752996,0.13086507694957,-3.80089630745929,0.000144173629748596,0.0011053311614059
"hsa-miR-103a-3p",330213.183314109,0.419261344104796,0.108283018002812,3.87190301709089,0.000107988921922163,0.000872667233911534
"hsa-miR-103b",318474.172958136,0.411853303475557,0.106477791423462,3.86797376213052,0.000109743469753852,0.000878927610439331
"hsa-miR-105-3p",88.1063029045025,-0.943218076732463,0.242554436081402,-3.88868615215067,0.000100788350562497,0.000837103244949631
"hsa-miR-106a-3p",53.8552638119975,1.27041528904789,0.332806146088055,3.81728313608654,0.000134929296937525,0.00106168052064
"hsa-miR-106a-5p",1090.38443183728,2.16972985477942,0.191062076909318,11.3561513089237,6.91232641157803e-30,6.2003567911855e-28
"hsa-miR-106b-3p",18250.4900069034,0.503829015570914,0.107559974242512,4.68416824305803,2.81099051959438e-06,3.31770854746863e-05
"hsa-miR-10b-5p",33632.2012860933,2.81032508547239,0.182524436031164,15.3969799692605,1.71493721822729e-53,3.07659736949976e-51
"hsa-miR-1179",28.4204693351709,-1.18568936263812,0.40956166653386,-2.89502035840578,0.00379133942852069,0.0194333226707603
"hsa-miR-1224-5p",71.7457446401223,-1.30435136778668,0.32781835797506,-3.97888445248669,6.92393789178557e-05,0.000591502122755396
"hsa-miR-124-3p",18061.591810042,-1.77461771883677,0.291764467146868,-6.08236409385474,1.18423266939656e-09,2.3092537053233e-08
"hsa-miR-1246",13230.2246574409,-1.41847457394748,0.315102909473174,-4.50162321991586,6.74364507364604e-06,7.56131203882562e-05
"hsa-miR-1247-3p",149.800345926276,0.833216839330394,0.19395719822433,4.29587995165148,1.74001732101879e-05,0.000169651688799332
"hsa-miR-1247-5p",24.3687614301826,1.79966642749171,0.415628410586039,4.32998895564953,1.49116820399803e-05,0.000146986580108377
"hsa-miR-1252-5p",89.238377361079,-0.567012959068761,0.218850243922557,-2.59087195383435,0.0095733104488289,0.0416857255951433
"hsa-miR-125b-1-3p",1866.5934418669,-0.560470032517226,0.167172900875567,-3.35263687823665,0.000800456499911652,0.00495178952014311
"hsa-miR-125b-2-3p",7284.00576727313,-0.597554814199041,0.134468526278436,-4.4438266019345,8.83728371322061e-06,9.32593351853986e-05
"hsa-miR-125b-5p",73114.2157468612,-0.753902436746132,0.179561560224808,-4.19857365798258,2.68601485807586e-05,0.000248387147184953
"hsa-miR-126-3p",1950.51616780032,-0.450940014590823,0.083959417489755,-5.3709283374417,7.83323358247293e-08,1.15187057761938e-06
"hsa-miR-1260b",72.1617040567864,-1.35433234976924,0.451239102420502,-3.00136300800271,0.00268773944399441,0.0144365406063652
"hsa-miR-1269a",266.561320306191,2.01914002211281,0.511796956382904,3.94519740090478,7.9734265477598e-05,0.000674732416352881
"hsa-miR-1269b",11.0984665755656,2.0938508776874,0.638951660579218,3.27700983794189,0.00104912713867357,0.00631588619724964
"hsa-miR-128-2-5p",6.28860573242707,-3.90207456397298,1.4430419068495,-2.70406184702711,0.00684975387169487,0.0325091493275677
"hsa-miR-128-3p",22262.4101929427,-0.619030324385656,0.0709695043814632,-8.72248340721599,2.7216557256353e-18,1.43607363876168e-16
"hsa-miR-1287-5p",217.733966486052,-0.366937409958607,0.117128718392077,-3.13277063896762,0.00173164701103672,0.00995697031346116
"hsa-miR-129-1-3p",413.323150667899,-1.74501976177712,0.264669660489398,-6.5931990789969,4.30448746131937e-11,1.10317864365814e-09
"hsa-miR-1291",65.9692787385843,-1.13597808495008,0.246826290705154,-4.60233827484392,4.17773938618994e-06,4.86679510313296e-05
"hsa-miR-1298-3p",240.996900470153,-0.807643177256387,0.163730888748344,-4.9327477755144,8.10808271091867e-07,1.03899288452772e-05
"hsa-miR-1298-5p",7377.47364802658,-0.53258345741735,0.132005731358905,-4.0345479846578,5.47075098126946e-05,0.000481104277470461
"hsa-miR-1301-3p",338.483147268019,0.535022756870619,0.117669428111794,4.54682890412548,5.44602350670139e-06,6.18364947533056e-05
"hsa-miR-1307-3p",1320.14425323916,0.579623231136275,0.107172483287278,5.40832136531337,6.36181966418136e-08,9.51092039795114e-07
"hsa-miR-130b-5p",2700.77389106491,0.7606206835465,0.182963619693561,4.1572236317823,3.22138616241563e-05,0.000291877109867356
"hsa-miR-132-3p",6116.0730148769,-0.473690050676879,0.0598489247225889,-7.91476292803124,2.47724673143857e-15,1.010041053682e-13
"hsa-miR-132-5p",1417.51668937357,-0.97182528065505,0.230181885927062,-4.22198852329758,2.42156442606441e-05,0.000226264926060394
"hsa-miR-134-5p",461.434352157324,0.55315867533599,0.209608130358337,2.63901345043407,0.00831476818788669,0.0374791309775596
"hsa-miR-135a-5p",14879.6918935588,-0.627474797417226,0.249225200381246,-2.51770204801666,0.0118123198045201,0.0481620493847935
"hsa-miR-135b-3p",543.438846808308,0.521790839008117,0.137082238263629,3.8064073480084,0.000141000079831849,0.00109980062268842
"hsa-miR-138-2-3p",130.137985717178,-1.43341332989081,0.296297208839298,-4.83775508890548,1.31313802342817e-06,1.61354083152749e-05
"hsa-miR-138-5p",326.974114157076,-0.977173038543142,0.282847215919513,-3.45477340254678,0.000550755494257772,0.00360604144780454
"hsa-miR-139-3p",211.221952326973,0.535078963716735,0.141715681826018,3.77572161966975,0.000159545098164125,0.00120628114646628
"hsa-miR-148a-5p",794.309263213305,-0.454188227581459,0.106753392437109,-4.25455544983296,2.09464749104364e-05,0.000199882851007037
"hsa-miR-152-3p",31207.2924797497,-0.572702384050786,0.114485334769737,-5.00240825781448,5.66185282993167e-07,7.46864998301281e-06
"hsa-miR-153-3p",1343.01775382059,-0.4890225720056,0.118821930993488,-4.1155918601626,3.86187150582148e-05,0.000346409874072187
"hsa-miR-15b-5p",2096.99126441225,0.465948181743372,0.161964372685588,2.87685602714548,0.00401658807734098,0.0202408960976116
"hsa-miR-17-5p",8567.20286854718,0.728635366335771,0.24135531517848,3.01893233963773,0.00253667176329237,0.0137902701313531
"hsa-miR-181a-3p",6819.74731231711,-0.635939594347278,0.182569246527622,-3.48327884593128,0.000495312165165511,0.0032668750893637
"hsa-miR-181b-2-3p",86.6302877618239,-0.759240001196764,0.201125083553174,-3.77496425499823,0.000160030609174456,0.00120628114646628
"hsa-miR-181b-5p",8510.55779517748,0.350542910972575,0.106575399368378,3.28915409231472,0.00100488991549918,0.0061318792802909
"hsa-miR-181c-3p",3199.67717164908,-0.59820873466538,0.185805186537899,-3.21954809664778,0.00128392820487816,0.00752734378938372
"hsa-miR-181c-5p",208.429561311841,-1.09132679461575,0.323873199582847,-3.36961130473715,0.000752742834079956,0.00472175050468336
"hsa-miR-181d-5p",2996.67749280163,-0.24653840506533,0.0967737848793795,-2.54757427719314,0.010847475790639,0.0454681578701085
"hsa-miR-183-5p",23838.0399736353,-0.518421325979588,0.166955241115836,-3.10515155148618,0.00190181553433277,0.0108657868426529
"hsa-miR-184",218.553554230765,-0.718764722822687,0.199806261244001,-3.59730830429253,0.000321527295706036,0.00223573631200244
"hsa-miR-185-5p",1829.94902137949,0.602926950730326,0.10711081380189,5.62900167900405,1.81255634104398e-08,2.90332685342223e-07
"hsa-miR-18a-5p",269.118605047372,0.887832105079135,0.253775741498667,3.49849083224449,0.000467899175138844,0.00313213104551898
"hsa-miR-18b-5p",23.5958942128448,1.3875468960748,0.344471920013667,4.0280406484794,5.62436211009153e-05,0.000489810952694379
"hsa-miR-1911-5p",30.0758591872321,-1.20243701951018,0.324224892367023,-3.70865114868792,0.000208366265593698,0.00153200442817662
"hsa-miR-192-5p",7245.87344803422,-0.400453668850063,0.148884276959537,-2.68969750888401,0.00715168123679957,0.0332386428466799
"hsa-miR-194-5p",727.161742714854,-0.342749667491751,0.105635778515519,-3.24463616691573,0.00117600776223204,0.00693999317580354
"hsa-miR-195-3p",29.5842229157289,-1.08014007981919,0.366518923608171,-2.94702404226723,0.00320848256478202,0.0166358893676848
"hsa-miR-195-5p",115.898018479329,-0.910757022847895,0.214723684775084,-4.24153033607765,2.22000875930128e-05,0.000209615563904552
"hsa-miR-199a-3p",21926.3021478835,1.22611206355282,0.136618850277237,8.97469171395235,2.84146391328821e-19,1.69919542014635e-17
"hsa-miR-199a-5p",9223.40984952012,2.46789267587574,0.163566659442174,15.0879933862575,1.94260792596844e-51,2.90419884932282e-49
"hsa-miR-199b-5p",38027.487649446,0.523401286023271,0.17250876842717,3.03405612824974,0.00241289533708488,0.013360290847933
"hsa-miR-200c-3p",221.499757262691,-0.5573480324822,0.184570674009171,-3.01969982758206,0.00253025318391896,0.0137902701313531
"hsa-miR-204-5p",4143.9532381889,-0.641837647586676,0.11239792531618,-5.71040475863909,1.12707797280091e-08,1.83816171200439e-07
"hsa-miR-206",31870.3392870073,-0.623896805037698,0.190896725625704,-3.2682425693408,0.0010821757384997,0.00647141091622823
"hsa-miR-20a-5p",19979.7720294427,0.702402271350578,0.257341681605281,2.72945395774613,0.00634393071886228,0.0305941174990294
"hsa-miR-20b-3p",15.7656284170798,1.19141333412902,0.421503392276117,2.82658065382438,0.00470478944467139,0.0231878908344519
"hsa-miR-20b-5p",2501.22050784578,2.12125821680358,0.250168151964373,8.47932960349676,2.26495194378783e-17,1.1287010519876e-15
