"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",205.804921921266,-2.84893681394402,0.222457135502401,-12.8066775988549,1.5043906178917e-37,2.50054116217133e-36
"hsa-let-7a-5p",48364.5572237225,-3.03944289754695,0.14039602986145,-21.6490658642301,6.20246774309504e-104,2.38407353875216e-102
"hsa-let-7b-3p",27.5153751573466,-7.79291362023691,1.22412140864594,-6.36612803697061,1.93859623750369e-10,1.14638142890843e-09
"hsa-let-7b-5p",5405.38773726333,-6.69802046764494,0.117584640792361,-56.9633960907593,0,0
"hsa-let-7c-5p",61154.3576861881,-1.50425014339708,0.217438682751129,-6.9180429368163,4.57925517853645e-12,2.85912886781717e-11
"hsa-let-7d-3p",313.436938589471,-3.38231635762436,0.232549168698578,-14.5445213868229,6.3271821254727e-48,1.23530698640181e-46
"hsa-let-7d-5p",1063.99413609424,-4.07721195644899,0.14676299222168,-27.7809268857813,7.37491149993898e-170,4.77428481311839e-168
"hsa-let-7e-3p",182.548223750926,-0.704395778055586,0.169865092158525,-4.14679537216638,3.37161138219787e-05,0.000127890604743053
"hsa-let-7e-5p",12777.0006642661,-1.35934360612866,0.0815894335710711,-16.6607800377062,2.52707008660528e-62,5.75610408615647e-61
"hsa-let-7f-1-3p",5.05430639710091,-2.80563066337026,1.09100274852922,-2.57160732835232,0.0101227633100573,0.0251535330734757
"hsa-let-7f-5p",199095.660087063,-3.37134232033521,0.209278502482061,-16.1093580102629,2.19288709380625e-58,4.81651986675301e-57
"hsa-let-7g-5p",129545.115953007,-2.62187244278739,0.201908889177868,-12.985423541594,1.4801707410738e-38,2.49398631715174e-37
"hsa-let-7i-3p",12.9344122198393,-2.87644065026742,0.607743441753105,-4.73298509313404,2.21241743136619e-06,9.35145512226945e-06
"hsa-let-7i-5p",262889.551131216,-3.86504972134472,0.271968869392775,-14.2113681244998,7.78888070322503e-46,1.47389588691797e-44
"hsa-miR-1-3p",181439.299068119,-9.43396219077267,0.239373421568613,-39.4110679830366,0,0
"hsa-miR-100-5p",418957.111914999,-0.17185475615335,0.0729903695661548,-2.35448535436706,0.0185483746118092,0.0425643671129203
"hsa-miR-101-3p",219759.525440671,-0.395958057226126,0.130872966071506,-3.02551450549217,0.00248210498453352,0.00689162332048812
"hsa-miR-10395-3p",139.264558394262,-1.65890933558655,0.277722389617486,-5.9732646614175,2.32552167702189e-09,1.2656600277597e-08
"hsa-miR-103a-2-5p",17.4194676524108,2.1395615292417,0.572625845698445,3.736404050418,0.000186670631757046,0.000631764105124147
"hsa-miR-105-3p",88.1063029045025,-1.07363538213733,0.248212956232653,-4.3254606787367,1.52213420026625e-05,6.0394356978306e-05
"hsa-miR-105-5p",575.681240450893,-0.967165724960394,0.112910293088747,-8.56578880899904,1.07338463723391e-17,8.74346426356095e-17
"hsa-miR-106a-3p",53.8552638119975,5.32784849129262,0.603650835303066,8.82604343389625,1.08443926711219e-18,9.46000211736165e-18
"hsa-miR-106a-5p",1090.38443183728,5.26254731088319,0.212282551865302,24.7902960683382,1.14080450279959e-135,5.61275815377398e-134
"hsa-miR-106b-3p",18250.4900069034,1.33197965684548,0.107818070366133,12.3539556247139,4.63739417945842e-35,7.22024663384032e-34
"hsa-miR-106b-5p",3919.72020796745,1.86809547339807,0.200685423297728,9.30857579340298,1.29557867389717e-20,1.25477304637285e-19
"hsa-miR-107",5456.44498534417,0.528534750954992,0.208932867226757,2.52968696582031,0.0114164330936652,0.0279725352693389
"hsa-miR-10a-5p",270.994725994579,-2.65098964542041,1.12498229727166,-2.35647232125313,0.0184494425178686,0.042416475321455
