"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",48364.5572237225,-1.11285449524371,0.140341867990985,-7.9295972839352,2.19857673229377e-15,3.62907925551349e-14
"hsa-let-7b-5p",5405.38773726333,-1.58019357951038,0.106398692221249,-14.8516259600679,6.79015451279584e-50,4.31514319288175e-48
"hsa-let-7c-3p",417.391203734543,1.87578838804608,0.160335246311517,11.699164289813,1.28714846094204e-31,4.67418769673524e-30
"hsa-let-7d-5p",1063.99413609424,-0.887661541128886,0.139693676798718,-6.35434302733617,2.09319269417627e-10,2.16296578398215e-09
"hsa-let-7e-5p",12777.0006642661,-1.13557662753748,0.081340985722424,-13.9606941992642,2.70783398479331e-44,1.43402374778012e-42
"hsa-let-7f-5p",199095.660087063,-1.24335027595841,0.209260923727525,-5.94162662484161,2.82207620742522e-09,2.61814515302004e-08
"hsa-let-7g-5p",129545.115953007,-1.09663003080334,0.201888077635155,-5.43187118154212,5.5766174790092e-08,4.29568534292163e-07
"hsa-let-7i-5p",262889.551131216,-1.09923137970262,0.271959368740046,-4.04189561402213,5.30208359942401e-05,0.000277322973451354
"hsa-miR-1-3p",181439.299068119,-1.44169050556522,0.239461775392516,-6.02054546368438,1.73830270722875e-09,1.64879309021473e-08
"hsa-miR-100-5p",418957.111914999,-0.203816782294411,0.0729976321550349,-2.79210128160785,0.00523669619595837,0.0189625095870743
"hsa-miR-101-3p",219759.525440671,-1.14040820252148,0.130853582276977,-8.7151469809026,2.90381677892454e-18,5.95282439679531e-17
"hsa-miR-10395-3p",139.264558394262,-1.65475804398891,0.264725099548865,-6.25085436480668,4.08213395475528e-10,4.05343145038591e-09
"hsa-miR-103a-3p",330213.183314109,-0.801974869326889,0.108283219775503,-7.40627098999801,1.2990025987137e-13,1.81432121204957e-12
"hsa-miR-103b",318474.172958136,-0.784050913412135,0.106478076973607,-7.36349618341136,1.79154921632615e-13,2.44845059564574e-12
"hsa-miR-105-3p",88.1063029045025,-1.25486631678065,0.219043398684215,-5.72884791013372,1.01114998181858e-08,8.68359207359062e-08
"hsa-miR-105-5p",575.681240450893,-1.73523888475501,0.107397777936542,-16.1571209208845,1.01177913605626e-58,8.03732051204688e-57
"hsa-miR-106a-3p",53.8552638119975,1.52343546607218,0.387232941513672,3.93415771942633,8.3488949803768e-05,0.000414509590627301
"hsa-miR-106a-5p",1090.38443183728,1.26807061132886,0.197078670610464,6.43433714770313,1.24013318588741e-10,1.32454561282597e-09
"hsa-miR-106b-3p",18250.4900069034,0.664037622180154,0.10779572291302,6.16014814164717,7.26769242792632e-10,7.1055669814572e-09
"hsa-miR-106b-5p",3919.72020796745,0.65727039001405,0.199900953241308,3.28798026901169,0.00100908911385965,0.00437731148025805
"hsa-miR-107",5456.44498534417,-0.640178007098905,0.208612282672238,-3.06874551631614,0.00214959616808851,0.0085916249359764
"hsa-miR-10a-5p",270.994725994579,4.42773151964549,1.19737927532326,3.6978521433404,0.000217431469699818,0.00103117685816593
"hsa-miR-10b-3p",28.2373522534387,-2.60139820497151,0.955603730540665,-2.72225622591457,0.00648378496329713,0.0226398095833809
"hsa-miR-10b-5p",33632.2012860933,-2.63373659205693,0.182753894438843,-14.411384228741,4.38826341166757e-47,2.53521945283158e-45
"hsa-miR-1180-3p",1381.5563875199,-0.355638442985708,0.0705313893018745,-5.04227190908682,4.60036953263938e-07,3.16057820323495e-06
"hsa-miR-1185-1-3p",24.5234095401692,1.26331938385107,0.450154369492839,2.80641368709666,0.00500963314955464,0.0182966773939194
"hsa-miR-1224-5p",71.7457446401223,-2.26942456823493,0.259486851073391,-8.74581721134325,2.21407287974741e-18,4.69014438359827e-17
"hsa-miR-1226-3p",72.4003735786968,-0.744871332904244,0.240527285961264,-3.09682674848044,0.0019560415791389,0.00791760779326606
"hsa-miR-124-3p",18061.591810042,-2.26850516162963,0.2914485001526,-7.78355407710748,7.05149909273426e-15,1.09298235937381e-13
"hsa-miR-124-5p",1803.78476454912,-1.13914509574634,0.247943203510321,-4.59437919498736,4.34039485018821e-06,2.58997270168508e-05
"hsa-miR-1247-3p",149.800345926276,1.45016423901799,0.229287229977763,6.32466203703815,2.53787415858943e-10,2.58051044445373e-09
"hsa-miR-1248",55.4994830792998,3.46470528735365,0.334412353009157,10.3605780593242,3.74690676355928e-25,1.10751592941485e-23
"hsa-miR-1249-5p",11.2229178132841,2.38427447646349,0.717787524407783,3.3216995216386,0.000894709884120174,0.00390782220864859
"hsa-miR-1251-5p",422.049767880216,-0.70050265028006,0.265049336376838,-2.64291418290559,0.00821958654251947,0.0279334077420916
"hsa-miR-1252-5p",89.238377361079,-0.836145512887398,0.204291925813044,-4.09289554425459,4.26019664226237e-05,0.000231397860355362
"hsa-miR-125a-3p",182.976389908318,-0.624212690082183,0.17859164588627,-3.49519534905733,0.000473714903341721,0.00213507674520329
"hsa-miR-125b-1-3p",1866.5934418669,-1.1442121365572,0.165910195510796,-6.89657518053342,5.32711790658398e-12,6.32781949464321e-11
"hsa-miR-125b-2-3p",7284.00576727313,-0.381220583599124,0.134290697527993,-2.83877134169817,0.00452875967315387,0.0167327137923795
"hsa-miR-125b-5p",73114.2157468612,-1.06428220475482,0.179525855546144,-5.92829484932474,3.06096514946716e-09,2.77891907498054e-08
"hsa-miR-126-3p",1950.51616780032,-1.82062044709593,0.080677243559755,-22.5667160498296,9.20325605655528e-113,3.89911281596059e-110
"hsa-miR-126-5p",54.017279471059,-1.17884896712414,0.375929183846894,-3.13582721900159,0.00171370133622874,0.00702953775179528
"hsa-miR-1260b",72.1617040567864,2.55542695017073,0.485067892275857,5.26818408487335,1.37779904953952e-07,1.00642677699123e-06
"hsa-miR-1266-5p",14.8296226290509,2.130267548027,0.591396995732888,3.60209396293445,0.000315664216811028,0.00144840873489826
"hsa-miR-1269a",266.561320306191,-5.17317160088488,0.487856187535636,-10.6038864178739,2.85848862778353e-26,8.86131474612893e-25
"hsa-miR-1269b",11.0984665755656,3.64158125762992,1.32078858617,2.75712653467857,0.00583117817580853,0.0206446447394224
"hsa-miR-127-3p",4273.57045761627,0.966677396999526,0.162997242094005,5.93063652231624,3.01762557157577e-09,2.75928208739051e-08
"hsa-miR-1271-5p",1065.22957507039,-1.03497297840762,0.128558738935362,-8.05058440195183,8.23996276510354e-16,1.43481213343847e-14
"hsa-miR-1278",26.9579566965776,1.12389037897924,0.415043992310455,2.70788253727708,0.00677139837520043,0.0234309335008875
"hsa-miR-128-1-5p",351.342179535991,-1.6384313825664,0.1262797637669,-12.9746155178971,1.70449498157921e-38,7.47039007443853e-37
"hsa-miR-128-2-5p",6.28860573242707,-2.41282948110383,0.872184904618475,-2.76641967583615,0.00566755451330783,0.0202152955240257
"hsa-miR-128-3p",22262.4101929427,-0.572862915765786,0.0708110462004668,-8.09002191754102,5.96539964718427e-16,1.08314613593874e-14
"hsa-miR-1284",6.50214552787971,2.77984654904791,0.963402495307044,2.88544669812377,0.00390858641338452,0.0145683675407969
"hsa-miR-1287-5p",217.733966486052,1.17896969673601,0.129878144613822,9.07750645993251,1.11090636708473e-19,2.71531152416288e-18
"hsa-miR-129-1-3p",413.323150667899,-1.50117401232522,0.254158182465712,-5.90645556936867,3.49546511416662e-09,3.12868743669421e-08
"hsa-miR-129-2-3p",4003.16857785542,-1.6583125717299,0.341539955686638,-4.85539845080789,1.20144912641548e-06,7.75148141966535e-06
"hsa-miR-129-5p",126949.096070257,-2.84545622674068,0.146254601633423,-19.4554988011429,2.6179334472753e-84,3.697103790541e-82
"hsa-miR-1291",65.9692787385843,1.7282795475764,0.271029019001465,6.37673247663219,1.80906059348884e-10,1.90026116886308e-09
"hsa-miR-1295a",6.83658571524052,2.73935904346229,0.891918842501298,3.07130975704025,0.00213121927967917,0.0085450463863477
"hsa-miR-1296-5p",895.27940733389,-1.06442990164096,0.21078080518937,-5.04993754381312,4.41954537477377e-07,3.06953124116801e-06
"hsa-miR-1298-3p",240.996900470153,-0.855428633663819,0.155091118894309,-5.51565195842564,3.47489342291383e-08,2.73492832226681e-07
"hsa-miR-1299",214.256653014561,-5.46717967878708,0.406964597080497,-13.4340424646463,3.81977216695662e-41,1.79812237933403e-39
"hsa-miR-1301-3p",338.483147268019,-0.327766647341597,0.122291855641427,-2.68020012961979,0.00735781557307542,0.0252750907929159
"hsa-miR-1302",26.4301207132123,-1.89626906585016,0.411856828885871,-4.60419479016488,4.14064773283338e-06,2.48243550397699e-05
"hsa-miR-1305",65.2835656139746,1.33371723222098,0.273953209911038,4.86841250246377,1.12498312682719e-06,7.29517119488451e-06
"hsa-miR-1307-3p",1320.14425323916,-1.14102239604356,0.106940407152756,-10.6697031217928,1.41076404877165e-26,4.48270276497192e-25
"hsa-miR-130a-3p",2794.99437978645,-0.724542069418192,0.168417848980882,-4.30205036937884,1.6922482845297e-05,9.47509942571475e-05
"hsa-miR-130a-5p",256.430690059658,2.51269409164805,0.215997271497334,11.6329899643157,2.80111064116734e-31,9.62219358087485e-30
"hsa-miR-130b-3p",1264.42910346176,-0.440600582008909,0.157325008977467,-2.80057560379363,0.0051011556726229,0.0185775612031625
"hsa-miR-132-3p",6116.0730148769,-3.01385055215114,0.0565740957307489,-53.272624391468,0,0
"hsa-miR-132-5p",1417.51668937357,-2.82970724940672,0.224984157205707,-12.5773622665327,2.81265270653289e-36,1.11715049687603e-34
"hsa-miR-133a-3p",1695.06679140979,-1.61069674738857,0.3332647087533,-4.83308524750183,1.34433186066039e-06,8.62952421666341e-06
