"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",205.804921921266,0.539235394758347,0.173311163265489,3.11137138888344,0.00186220571824075,0.00695691947569185
"hsa-let-7a-5p",48364.5572237225,1.03675612298469,0.14028497804621,7.39035738126702,1.46434690908475e-13,1.34856133952921e-12
"hsa-let-7b-3p",27.5153751573466,2.28054986509756,0.474553794176927,4.80567196613184,1.54232602845222e-06,8.76690584593892e-06
"hsa-let-7b-5p",5405.38773726333,2.44558068284832,0.104281658350017,23.4516857666362,1.2705753382951e-121,6.86110682679356e-120
"hsa-let-7d-3p",313.436938589471,1.30724443898771,0.220787213181514,5.92083400189029,3.20313049165025e-09,2.23842295534147e-08
"hsa-let-7d-5p",1063.99413609424,1.31738135517503,0.137559567702854,9.57680644955744,1.000919995223e-21,1.33605949924148e-20
"hsa-let-7e-5p",12777.0006642661,-0.250526334033587,0.0812606135678226,-3.08299830673184,0.00204926320974737,0.00758418907532671
"hsa-let-7f-5p",199095.660087063,0.749074455796479,0.209253642202243,3.57974393139834,0.000343931067587276,0.00142863674228561
"hsa-let-7i-5p",262889.551131216,1.47058729106839,0.271953316614827,5.40749901260155,6.39108951474164e-08,4.17176612280938e-07
"hsa-miR-1-3p",181439.299068119,7.65705937601587,0.238987285729073,32.0396097752926,3.06366699653137e-225,3.63963639187927e-223
"hsa-miR-100-5p",418957.111914999,0.437223897443298,0.0729968747034142,5.98962488763712,2.10325572075802e-09,1.51434411894578e-08
"hsa-miR-101-3p",219759.525440671,-1.24185473304835,0.130861472091881,-9.48984229809376,2.31384050978867e-21,3.05426947292105e-20
"hsa-miR-101-5p",8.79764130889293,-1.47555063914182,0.600203291376807,-2.45841810656695,0.0139550599952006,0.0416548021967295
"hsa-miR-103a-2-5p",17.4194676524108,-2.51776926467424,0.574167096450652,-4.38508106827858,1.15942590977897e-05,5.81180582623383e-05
"hsa-miR-103a-3p",330213.183314109,-0.443387947879243,0.108285032457724,-4.09463743802586,4.22829533597751e-05,0.000197764364533121
"hsa-miR-103b",318474.172958136,-0.448573270309083,0.106480200756114,-4.21273877325336,2.52292785964286e-05,0.000122336257030845
"hsa-miR-105-3p",88.1063029045025,-1.12444901137578,0.225293203816978,-4.99104718795359,6.00528231624019e-07,3.60316938974411e-06
"hsa-miR-105-5p",575.681240450893,-0.987657196300617,0.106355674115272,-9.28636111346684,1.5965335215642e-20,2.0177466208705e-19
"hsa-miR-106a-3p",53.8552638119975,-2.53399773617255,0.63528241836323,-3.98877359568876,6.6415771810299e-05,0.000302306271688257
"hsa-miR-106a-5p",1090.38443183728,-1.82474684477491,0.217713497521698,-8.38141348858284,5.22958329549053e-17,5.80630369630163e-16
"hsa-miR-106b-5p",3919.72020796745,-1.0033158512907,0.201115585389739,-4.98875236022306,6.07704879105502e-07,3.62790651445897e-06
"hsa-miR-107",5456.44498534417,-1.07197059208864,0.208907696734431,-5.1313121002495,2.87729363349362e-07,1.74399226356654e-06
"hsa-miR-10a-5p",270.994725994579,7.13687329113913,1.19555942806822,5.96948434647942,2.38004593541566e-09,1.69311052172084e-08
"hsa-miR-10b-3p",28.2373522534387,5.01471494100676,0.479744390692266,10.4528891599349,1.42128294993508e-25,2.16472326220881e-24
"hsa-miR-10b-5p",33632.2012860933,5.70563954119638,0.179728836589818,31.7458213687654,3.62616672016761e-221,3.91626005778102e-219
"hsa-miR-1180-3p",1381.5563875199,-0.264442479307023,0.0717755156365705,-3.68429926224432,0.000229332676059104,0.00098002596819502
"hsa-miR-1226-3p",72.4003735786968,-1.10253373739385,0.258639759848353,-4.26281611937889,2.0186662734886e-05,9.86903511483314e-05
"hsa-miR-1228-5p",1.67432950145733,4.05130855760195,1.50168451775189,2.69784266249677,0.00697904172300358,0.0221687207671878
"hsa-miR-124-3p",18061.591810042,-1.87747735090363,0.291460517704035,-6.4416181158716,1.18206402274743e-10,9.05994876789643e-10
"hsa-miR-124-5p",1803.78476454912,-1.87357135602389,0.24924015595046,-7.51713281866301,5.59905300758284e-14,5.40786583171416e-13
"hsa-miR-1245a",2.26730259978212,5.65999435319713,1.9314173160693,2.93048752649479,0.00338430580337099,0.0118119317684437
"hsa-miR-1245b-3p",4.31974414698793,6.64516152107893,1.41263008105405,4.70410591576854,2.54980860449045e-06,1.40548280691257e-05
"hsa-miR-1246",13230.2246574409,-3.39173306863028,0.316416114731716,-10.7192172292049,8.27002574838874e-27,1.3458617245323e-25
"hsa-miR-1247-3p",149.800345926276,1.66369016859603,0.232012803028664,7.17068259543627,7.46247396106716e-13,6.51869048952043e-12
"hsa-miR-1247-5p",24.3687614301826,1.48803751127041,0.386076003908658,3.8542605502684,0.000116079926830832,0.000520388502169918
"hsa-miR-1250-5p",267.012074363505,-0.654194702209645,0.193229549972034,-3.38558311761491,0.00071027195831045,0.0028315539814524
"hsa-miR-1251-3p",11.4829609747158,-1.74530846778835,0.568286223290039,-3.07117856506191,0.00213215597242701,0.00786646364982386
"hsa-miR-1251-5p",422.049767880216,-1.22282158036439,0.268409924959994,-4.55579867453353,5.21869030958403e-06,2.75546848346037e-05
"hsa-miR-125b-1-3p",1866.5934418669,-0.439691817434877,0.165779681324959,-2.65226603116096,0.00799535187270311,0.0250197519430226
"hsa-miR-125b-2-3p",7284.00576727313,-0.337300679247699,0.134440009052964,-2.50893079838172,0.0121097205480455,0.0366064834887483
"hsa-miR-126-3p",1950.51616780032,-0.244225415513562,0.0790007766079946,-3.0914305656186,0.00199194562838593,0.00741828027123036
"hsa-miR-126-5p",54.017279471059,-1.12534549785766,0.38267052349143,-2.94076869989926,0.00327398906524063,0.0115073935192481
