"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",205.804921921266,1.14926936503088,0.201372564004397,5.70717947955305,1.14863644409659e-08,9.04444844499761e-08
"hsa-let-7a-5p",48364.5572237225,1.08066683980722,0.140368099500894,7.69880652120916,1.37342939500585e-14,1.64039937852946e-13
"hsa-let-7b-3p",27.5153751573466,5.1311440922855,1.26015739271129,4.07182794940052,4.66456294490813e-05,0.0002306246702529
"hsa-let-7b-5p",5405.38773726333,3.0286460010997,0.112270561006739,26.9763148410554,2.80306541308523e-160,5.95931706821921e-158
"hsa-let-7d-3p",313.436938589471,1.78394088485018,0.236554454397065,7.54135401676169,4.65116551193019e-14,5.43317465844153e-13
"hsa-let-7d-5p",1063.99413609424,1.33317521297084,0.142205518879084,9.37498926539145,6.91828092380122e-21,1.38757219283032e-19
"hsa-let-7e-3p",182.548223750926,0.435515901690798,0.163612960393685,2.66186676558422,0.00777086305966602,0.0240828788117346
"hsa-let-7e-5p",12777.0006642661,1.0132104343361,0.0814322474038833,12.4423734655244,1.53862940498559e-35,5.45187685833228e-34
"hsa-let-7f-5p",199095.660087063,1.38116816258237,0.209266381256711,6.60004800717638,4.11024661788332e-11,4.00843316955043e-10
"hsa-let-7g-5p",129545.115953007,0.805927948515417,0.201889621353093,3.99192362199687,6.55394834899294e-05,0.000316674867953613
"hsa-let-7i-3p",12.9344122198393,1.97851710420478,0.673095190124048,2.93943135121816,0.00328815102491258,0.0115356585461454
"hsa-let-7i-5p",262889.551131216,0.72320631577466,0.27195961455657,2.65924158244541,0.00783167840066014,0.024200796918319
"hsa-miR-1-3p",181439.299068119,0.809612504256993,0.239396567336633,3.38188852607288,0.00071989351258302,0.00285539852192444
"hsa-miR-100-5p",418957.111914999,-0.822625136205404,0.0729927448547086,-11.2699575532175,1.84658899316476e-29,5.9482548476792e-28
"hsa-miR-101-3p",219759.525440671,0.566248562253846,0.130852207878636,4.32739020176896,1.50886519141436e-05,7.82401804133396e-05
